Id,Fecha,Ruta,Operador,Trayecto,Modelo del Avion,Registro,Total a Bordo,Pasajeros a bordo,Tripulantes a bordo,Total Fallecidos,Fatalidad Pasajeros,Fatalidad Tripulantes,Fatalidad en Tierra,Año,Tipo de Operador,Origen
436,1936-09-28,"Walsenberg,Colorado",Varney Air Lines,"El Paso, TX - Pueblo, CO",Lockheed  5 Vega,NC176W,3,1,2,3,1,2,0,1936,Comercial,United States
437,1936-09-29,"Napierville,Illinois",Blue Bird Air Service,Desconocido,Lockheed Vega 5C,NC959Y,4,3,1,4,3,1,0,1936,Comercial,United States
438,1936-10-06,"Francisco Rueda, Tabasco,Mexico",Mexicana,Desconocido,Lockheed Orion,XA-BDH,1,0,1,1,0,1,0,1936,Comercial,Mexico
439,1936-10-09,"Selby,North Yorkshire,United Kingdom",North Sea Aerial and General Transport,Desconocido,Blackburn B-2,G-ABWI,1,0,1,1,0,1,0,1936,Comercial,United Kingdom
440,1936-11-01,"Tabarz,Germany",Deutsche Lufthansa,Frankfurt - Erfurt,Junkers JU-52,D-APOO,15,12,3,11,8,3,0,1936,Comercial,Germany
441,1936-11-17,"Nurnberg,Germany",Deutsche Lufthansa,Leipzig - Nuremberg,Junkers JU-52/3m,D-ASUI,16,13,3,4,3,1,0,1936,Comercial,Germany
442,1936-11-19,"London,England",British Airways,Hanover - London,Fokker F-XII,G-AEOT,4,0,4,2,0,2,0,1936,Comercial,United Kingdom
443,1936-12-04,"Grenoble,France",Deutsche Lufthansa,Lisbon - Burgos - Geneva - Munich,Junkers JU-52/3m,D-ASIH,6,3,3,6,3,3,0,1936,Comercial,Germany
444,1936-12-06,"Moscow,Russia",Deruluft,Berlin - Moscow,Antonov AN-9,CCCP-D311,14,11,3,9,7,2,0,1936,Comercial,No encontrado
445,1936-12-07,"Dakar,French West Africa",Air France,Marseille - Dakar - Natal - Rio de Janeiro,Latécoère 300 (float plane.,F-AKGF,5,1,4,5,1,4,0,1936,Comercial,France
446,1936-12-09,"Croydon,England",KLM Royal Dutch Airlines,Croydon - Amsterdam,Douglas DC-2-115E,PH-AKL,17,13,4,15,12,3,0,1936,Comercial,Netherlands
447,1936-12-15,"Salt Lake City,Utah",Western Air Express,Burbank - Las Vegas - Salt Lake City,Boeing 247D,NC13370,7,4,3,7,4,3,0,1936,Comercial,United States
448,1936-12-18,"Kellogg,Idaho",Northwest Orient Airlines,Chicago - Minneapolis - Missoula - Seattle,Lockheed 10 Electra,NC14935,2,0,2,2,0,2,0,1936,Comercial,United States
449,1936-12-19,"Milford,Pennsylvania",Eastern Air Lines,Miami - Charleston - Newark,Douglas DC-2-112,NC13732,11,8,3,0,0,0,0,1936,Comercial,United States
